AFPU- REFORMA;01-03610-10
CEL- NOVO PRÉDIO;01-00143-03
CEL- NOVO PRÉDIO;01-00143-03
CEL- NOVO PRÉDIO;01-00143-03
CEL- NOVO PRÉDIO;01-00143-03
CEL- NOVO PRÉDIO;01-00143-03
CEL- NOVO PRÉDIO;01-00143-03
CEL- NOVO PRÉDIO;01-00143-03
IB- LAB OBESIDADES E DIABETES - BETACEL (FINEP- CT-INFRA);01-00176-08
IB- LAB OBESIDADES E DIABETES - BETACEL (FINEP- CT-INFRA);01-00176-08
FCA- ENSINO 2 CAMPUS 2;01-00275-08
FCA- ENSINO 2 CAMPUS 2;01-00275-08
CBMEG- REFORMA SANITÁRIOS;01-00379-11
FOP- CLIMATIZAÇÃO DA ÁREA CLÍNICA DE GRADUAÇÃO;01-00404-11
FOP- CLIMATIZAÇÃO DA ÁREA CLÍNICA DE GRADUAÇÃO;"01-00404-11
OF.285/2010"
CIDDIC- REFORMA E AMPLIAÇÃO DO ANTIGO PRÉDIO DO DNI;01-00405-11
CIDDIC- REFORMA E AMPLIAÇÃO DO ANTIGO PRÉDIO DO DNI;"01-00405-11
OF.COCEN S/Nº"
SIARQ- NOVA SEDE;01-00454-11
SIARQ- NOVA SEDE;01-00454-11
FCA- CONSTRUÇÃO DE 4 QUADRAS ESPORTIVAS;01-00554-10
FCA- CONSTRUÇÃO DE 4 QUADRAS ESPORTIVAS;01-00554-10
FCA- CONSTRUÇÃO DE 4 QUADRAS ESPORTIVAS;01-00554-10
FCA- CONSTRUÇÃO DE 4 QUADRAS ESPORTIVAS;01-00554-10
FCA- CONSTRUÇÃO DE 4 QUADRAS ESPORTIVAS;01-00554-10
HC- READEQUAÇÃO ESTACIONAMENTO DO HC;01-00695-11
HC- READEQUAÇÃO ESTACIONAMENTO DO HC;"01-00695-11
OF.PREFEITURA S/Nº"
PREAC- PPCI PARA CASA DO LAGO;01-00697-05
PREAC- PPCI PARA CASA DO LAGO;01-00697-05
PREAC- PPCI PARA CASA DO LAGO;01-00697-05
PRG- REFORMA 6 SALAS DE AULA BÁSICO II;01-00699-11
PRG- REFORMA 6 SALAS DE AULA BÁSICO II;01-00699-11
PRG- REFORMA 6 SALAS DE AULA BÁSICO II;01-00700-11
CGU - CT-INFRA- OBRAS RARAS E COLEÇÕES ESPECIAIS;01-00766-11
CGU - CT-INFRA- OBRAS RARAS E COLEÇÕES ESPECIAIS;"01-00766-11
REUNIÃO CGU/PRDU"
PREFEITURA- REMODELAÇÃO GUARITAS ACESSO UNICAMP;01-00874-08
HEMOCENTRO- REMODELAÇÃO ENTRADA DE ENERGIA PARA O HEMOCENTRO;01-00949-11
HEMOCENTRO- REMODELAÇÃO ENTRADA DE ENERGIA PARA O HEMOCENTRO;"01-00949-11
OFÍCIO HEMO/SeAC Nº 0002/11"
IFGW- ELEVADOR DE CARGAS NO DFA;01-01149-09
IA- 2A ETAPA DO TEATRO - DEPTOS DAC E DACO;01-01175-09
NEPP- AMPLIAÇÃO PRÉDIO NEPP;01-01255-11
NEPP- AMPLIAÇÃO PRÉDIO NEPP;01-01255-11
NEPP- AMPLIAÇÃO PRÉDIO NEPP;01-01255-11
NEPP- AMPLIAÇÃO PRÉDIO NEPP;01-01255-11
NEPP- AMPLIAÇÃO PRÉDIO NEPP;01-01255-11
PRG- REFORMA E AMPLIAÇÃO DOS QUIOSQUES DO BÁSICO I;01-01292-06
PRG- REFORMA E AMPLIAÇÃO DOS QUIOSQUES DO BÁSICO I;01-01292-06
PRG- REFORMA E AMPLIAÇÃO DOS QUIOSQUES DO BÁSICO I;01-01292-06
PRG- REFORMA E AMPLIAÇÃO DOS QUIOSQUES DO BÁSICO I;01-01292-06
PRG- REFORMA E AMPLIAÇÃO DOS QUIOSQUES DO BÁSICO I;01-01292-06
PRG- REFORMA E AMPLIAÇÃO DOS QUIOSQUES DO BÁSICO I;01-01292-06
PRG- REFORMA E AMPLIAÇÃO DOS QUIOSQUES DO BÁSICO I;01-01292-06
PRG- REFORMA E AMPLIAÇÃO DOS QUIOSQUES DO BÁSICO I;01-01292-06
PRG- REFORMA E AMPLIAÇÃO DOS QUIOSQUES DO BÁSICO I;01-01292-06
IA- REFORMA PAV ARTES;01-01304-11
CEMIB- REFORMA E AMPLIAÇÃO (FINEP);01-01309-09
CEMIB- REFORMA E AMPLIAÇÃO (FINEP);01-01309-09
CEMIB- REFORMA E AMPLIAÇÃO (FINEP);01-01309-09
CEMIB- REFORMA E AMPLIAÇÃO (FINEP);01-01309-09
CEMIB- REFORMA E AMPLIAÇÃO (FINEP);01-01309-09
CEMIB- REFORMA E AMPLIAÇÃO (FINEP);01-01309-09
CEMIB- REFORMA E AMPLIAÇÃO (FINEP);01-01309-09
CEMIB- REFORMA E AMPLIAÇÃO (FINEP);01-01309-09
IA- REMODELAÇÃO CABINE DE FORÇA;01-01311-09
IA- REMODELAÇÃO CABINE DE FORÇA;01-01311-09
IA- REMODELAÇÃO CABINE DE FORÇA;01-01311-09
IA- REMODELAÇÃO CABINE DE FORÇA;01-01311-09
PRG- REFORMA SANITÁRIOS CB II;01-01428-11
PRG- REFORMA SANITÁRIOS CB II;01-01428-11
IFGW- AMPLIAÇÃO BIBLIOTECA;01-01478-06
PRG- REFORMA 3 SALAS DE AULA BÁSICO II;01-01495-07
PRG- REFORMA 3 SALAS DE AULA BÁSICO II;01-01495-07
PRG- REFORMA 3 SALAS DE AULA BÁSICO II;01-01495-07
PRG- REFORMA 3 SALAS DE AULA BÁSICO II;01-01495-07
PRG- REFORMA 3 SALAS DE AULA BÁSICO II;01-01495-07
FEF- NOVO GINÁSIO;01-01497-07
FEF- NOVO GINÁSIO;01-01497-07
FEF- NOVO GINÁSIO;01-01497-07
FEF- NOVO GINÁSIO;01-01497-07
FEF- NOVO GINÁSIO;01-01497-07
FEF- NOVO GINÁSIO;01-01497-07
FEF- NOVO GINÁSIO;01-01497-07
FEF- NOVO GINÁSIO;01-01497-07
FEF- NOVO GINÁSIO;01-01497-07
FEF- NOVO GINÁSIO;01-01497-07
FEF- NOVO GINÁSIO;01-01497-07
NIPE- CONCLUSÃO DA OBRA DO NIPE;01-01499-10
PRG- REVITALIZAÇÃO PRAÇAS CICLO BÁSICO, RU E ADJACÊNCIAS;01-01562-07
PRP- BIOENERGIA;01-01609-10
