OBRA;AFPU;REFORMA DO PISO DA AFPU AUDITORIO E SALA MULTIUSO;01-002851-07
PLANEJAMENTO;AFPU;PLANEJAMENTO DE OBRA DE REFORMA DO SETOR DO PRÉDIO DA REITORIA VI OCUPADO PELA AFPU;01-P-03610-2010
OBRA;AFPU;CONTRATAÇÃO EMPRESAS DESENVOLVIMENTO PROJETOS REFORMA AFPU REF.PROC. 01P-3610/10;01-P-24375-2010
ANÁLISE;BANESPA;T.ª01- CONV UNICAMP/BANESPA - PERMISSÃO USO AREA SEM BENFEITORIAS - INST POSTO ATENDIMENTO BANCÁRIO;"01-015826-05
01-013886-05"
OBRA;BC;CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DE PINTURA EXTERNA NA BIBLIOTECA CENTRAL;01-04135-08
PLANEJAMENTO;BC;REFORMA DA BAE LOCALIZADA NO 2° PISO DO PRÉDIO DA BC;01-026801-05
OBRA;BC;AQUISIÇÃO E INSTALAÇÃO DE CALHAS;16-P24119-07
SERVIÇO;BC;CONTRATAÇÃO DE EMPRESA PARA CONCLUSÃO DA INSTALAÇÃO DE CALHASDA BC;01-P-18618/09
SERVIÇO;BC;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PINTURA INTERNA BCCL;01-P-20724-09
PLANEJAMENTO;BC;PLANEJAMENTO EXECUÇÃO DE SERVIÇOS ADEQUAÇÃO DO ENTORNO DA BIBLIOTECA CENTRAL CESAR LATTES;01-P-26614-09
PLANEJAMENTO;BC;PLANEJAMENTO NOVO LAYOUT PARA AREA COLEÇÕES ESPECIAIS E OBRAS RARAS DO 3° PISO DA BIBLIOTECA CENTRAL CESAR LATTES;01-017058-07
OBRA;CAISM;BLOCO INTERLIGAÇÃO ADM/ ASSIST;01-022569-04
PROJETO;CAISM;PROJETO POSTO TRANSFORMAÇÃO ENERGIA BLOCO H - CAISM;01-024265-05
PLANEJAMENTO;CAISM;PLANEJAMENTO PARA CONSTRUÇÃO DO NOVO PRÉDIO PARA RADIOTERAPIA - CAISM;01-P-03772-09
SERVIÇO;CCS;AQUISIÇÃO DE SISTEMA DE COMBATE A INCENDIO - CILINDRO CO2;01-026232-04
OBRA;CDC;INSTALAÇÕES ELÉTRICAS CDC;
OBRA;CEB;AMPLIAÇÃO PRÉDIO CEB;"01-018291-01
01-27339-04"
PLANEJAMENTO;CEB;PLANEJAMENTO DE OBRA DE REFORMA DO LAY-OUT INTERNO DO PRÉDIO DO CEB;01-004427-07
OBRA;CEB;CONTRATAÇÃO DE EMPRESA PARA REFORMA DOS SANITÁRIOS DO CEB;01P-21920-07
PLANEJAMENTO;CECI;CONSTR NOVA SEDE CECI-MATERNAL;01-023104-05
PLANEJAMENTO;CECI;PLANEJAMENTO ESTUDO DAS INSTALAÇÕES FISICAS DOS PROGRAMAS EDUCATIVOS EMEI, CAS E PRODECAD;01-011386-07
OBRA;CECOM;CONTRATAÇÃO DE SERVIÇOS DE APLICAÇÃO DE GESSO E PINTURA NA FISIOTERAPIA DO CECOM/CSS;01-P-20458-08
PLANEJAMENTO;CECOM;CONCLUSÃO DA REFORMA DO CECOM - 2ª ETAPA;01P-26936-07
ANÁLISE;CECOM;AVALIAÇÃO TECNICA DE INTERLIGAÇÃO ELÉTRICA DA REFORMA COMPLETA DO PREDIO - CECOM;01P-25002-07
PROJETO;CECOM;REFORMA GERAL DO CECOM;01P-22831-04
PROJETO;CECOM;EMPRESA MARCELO SOUBHIA - CECOM;01P-03984-05
OBRA;CECOM;CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DA 1ª ETAPA DA REFORMA DA REFORMA DO CECOM;01-P-29254-08
OBRA;CECOM;REFORMA PRÉDIO CECOM - 1ª ETAPA;01-16044-06
PLANEJAMENTO;CECOM;ABRIGO DE RESÍDUOS;
Em gerenciamento;CECOM;REFORMA DE OBRA PARA REFORMA E AMPLIAÇÃO DO PRÉDIO - CECOM;01-29398-09
PLANEJAMENTO;IG;ANALISE REEQUILIBRIO ECONOMICO FINANCEIRO DO CONTRATO 78/09 PROC.01P-04650/08 - FFN CONST. SUPER ESTRUTURA IG.;01-9519-10
PLANEJAMENTO;CEL;NOVAS INSTALAÇÕES DO CENTRO DE ENSINO DE LINGUAS - CEL  - 1ª ETAPA;01-000143-03
PROJETO;CEL;CONTRATAÇÃO DE EMPRESA PARA ADEQUAÇÃO DOS PROJETOS EXECUTIVOS DO NOVO PREDIO DO CEL;01P-25984-07
PROJETO;CEL;CONTRATAÇÃO DE EMPRESA PARA NOVAS INSTALAÇÕES DO CEL REF.PROC. 01P-143/02 ADEQUAÇÃO DOS PROJETOS EXECUTIVOS DO NOVO PREDIO DO CEL;01P-18745-10
PLANEJAMENTO;CEMEQ;INSTALAÇÃO DOIS QUIOSQUES NO CEMEQ PARA ÁREA DE MANUTENÇÃO E VESTIÁRIO;01-004581-06
OBRA;CEMEQ;PROJETO DE REFORMA DOS SANITÁRIOS DO CBMEG PARAADEQUAÇÃO DE ACESSIBILIDADE;01-P-14073-09
OBRA;CBMEG;CONTRATAÇÃO DE EMPRESA PARA IMPERMEABILIZAÇÃO DECALHASDO CEMEQ;01-P-21825-09
OBRA;CEMIB;CONTRATAÇÃO DE EMPRESA PARA  REFORMA E AMPLIAÇÃO -  CEMIB VINC PROC 01-P-022416-05;01-P-01309-09
PROJETO;CEMIB;CONTRATAÇÃO EMPRESA PARA ELABORAÇÃO PROJETOS EXECUTIVOS CEMIB - CT INFRA 01/04.;01-006198-07
PLANEJAMENTO;CEMIB;PLANEJAMENTO DE INSTALAÇÃO NOVA REDE HIDRAULICA - CEMIB;01-010973-07
PROJETO;CEMIB;CONTRATAÇÃO EMPRESA PARA ELABORAÇÃO PROJETO COMPLETO DE INSTALAÇÕES HIDRAULICAS DA REDE DE AGUA FRIA -CEMIB;01P-19717-07
OBRA;CEMIB;CONTRATAÇÃO DE EMPRESA PARA INSTALAÇÃO DE NOVA REDE HIDRÁULICA NO CEMIB VINC PROC. 01-P-10973-08;01-P-16113-08
PLANEJAMENTO;CEMIB;PLANEJAMENTO DE REFORMA E AMPLIAÇÃO -  CEMIB;01-022416-05
PLANEJAMENTO;CEPAGRI;PLANEJAMENTO PARA CONSTRUÇÃO DO PRÉDIO CEPAGRI (MUDCLIM);01-P-16433-08
PLANEJAMENTO;CEPETRO;LABORATÓRIO DE SISTEMA MARITIMOS DE PRODUÇÃO RISERS - CEPETRO;01P-19832-06
