1;Absoluta Arquitetura E Design Ltda - Epp;Av Salgado Filho, nº 1817 - Santa Mena - CEP 07115-000 - Guarulhos-SP;07.876.472.0001-51;;;;;;;;
2;ACI - Comercio,Serviços E Assessoria Segurança Contra Incendio Ltda;Rua Arcoverde, 498, Bairro Vila Guilhermina, SP, Cep 03543-100;04.753.771/0001-00;;;;;;;;
3;Adn Construções Campinas Ltda -Me;Rua: Franklin Bowers Jones, 154,Parque Jambeiro.Campinas/SP, CEP 13042-380.;06139504/0001-73;;;;;;;;
4;Afs Comércio E Serviço De Pinturas Industriais Ltda;Rua Fernando Costa nº 59 - Jardim Primavera - Campinas/SP  13026-360;10.761.029/0001-40;;;;;;;;
5;Agmar Pereira Da Silva - ME;Rua Trinta e seis, 231, Pq Bandeirantes, Sumare, SP -Cep 13181-782;06.145.196/0001-99;;;;;;;;
6;Agnaldo Rios Santiago - Me;Av. Flamingo, nº 1557 - sala 02, Vila Nova Curuça,  São Paulo, S.P., CEP 08031-000.;10.313.359/0001-72;;;;;;;;
7;Ajm Sociedade Construtora Ltda;Av. Arnolfo de Azevedo nº 167 - Pacaembu  - São Paulo-SP CEP 01.236-030;48.752.133/0001-40;;;;;;;;
8;Alpha Soluções Em Meio Ambiente Ltda-Me;Rua Coronel Nogueira Padilha, 2036 - Além Ponte, Sorocaba/SP;10.488.511/0001-58;;;;;;;;
9;Aurea Construtora E Engenharia Ltda - Epp;R. Bahia, 396 - José Paulino Nogueira - Paulínia/SP - CEP 13140-000;08.774.066/0001-40;;;;;;;;
10;Bass Elevadores Ltda-Epp;R. Fernando Pedrosa, 220 - Jardim Primavera, São Paulo, S.P., CEP 02755-150;03.949.258/0001-27;;;;;;;;
11;Batista E Senna Projetos Arquitetonicos Ltda;Rua Nicola Anselmi, nº 197 - Chac. Recreativas - San Fernando - Valinhos - SP - CEP 13278-112;06.033.480/0001-73;;;;;;;;
12;Betontix Tecnologia E Comercio Ltda - Me;Rua: Mato Grosso, 1770, Ipiranga, Ribeirão Preto, S.P., CEP 14.055-560;08.967.458/0001-26;;;;;;;;
13;Br Assessoria E Contruções Ltda;Rua Doutor Eduardo Amaro, 239 - Bairro Paraíso, São Paulo/SP  -  CEP 04104-080;02.826.757/0001-64;;;;;;;;
14;C. W. Biondo Comércio E Manutenção Ltda .Epp;Rua Alminrante Tamandaré, 663 - Jão Paulo II. Sumaré/SP CEP 13.172-691;12.358.873/0001-50;;;;;;;;
15;Carlos Jair Lagranha & Cia Lta Epp.;Rua Vinte e Seis de Março, 21 - Bairro Bonfim, Campinas-SP CEP 13070-749;96.631.510/0001-36;;;;;;;;
16;Cf Comércio E Sistemas Contra Incendio Ltda;Rua Bolívia, nº 2085 - Bairro: Jd. Independência, Ribeirão Preto, S.P., CEP 14076-390;10.724.859/0001-05;;;;;;;;
17;Comercial Ferreira E Gobi Ltda-Me;Rua Maurilio Roque Toasa, nº 300, Centro, Lucianópolis, S.P., CEP 17475-000;10.876.620/0001-42;;;;;;;;
18;Compacta Com. Inst. Elétrica Hidráulica Ltda - Me;R. Projetada, 239 - Jd. das Palmeiras - Sumaré/SP, CEP 13172-300;07.203.450/0001-20;;;;;;;;
19;Construbras Empreendimentos Construções E Comércio Ltda;Av. Engenheiro Jayme Pinheiro Ulhoa Cintra, 2446 - 1º andar - Parque Industrial Bandeirantes, Sumaré/SP  -  CEP 13181-701;04.876.234/0001-58;;;;;;;;
20;Construsan Comercial E Construtora Ltda.;Rua João Belotti, 525, Vila Dainese. Americana - SP CEP: 13469-573;66.104.134/0001-60;;;;;;;;
21;Construsenna Prestadora De Serviços Ltda - Epp.;Av. Eliseo Cordeiro Siqueira, 610 - Jd. Santo Elias, São Paulo/SP  -  CEP 05136-000;10.226.845/0001-53;;;;;;;;
22;Construtora Campos & Cia Ltda - Me;Rua Acre, 2.280 - Santana, Avaré/SP  -  CEP 18.701-570;11.551.514/0001-51;;;;;;;;
23;Construtora Clark Ltda.;Av. Moema, 281 - Moema - São Paulo/SP CEP: 04077-020;65.527.939/0001-54;;;;;;;;
24;Construtora Ferraz Ltda.;Rua: Alfredo Maia, 531, - Luz, São Paulo/SP - Cep 11060-010.;10924727/0001-19;;;;;;;;
25;Construtora Manara - Ltda;Rua Dr. Estevão de Almeida, nº 106 - Bairro: Perdizes, São Paulo, S.P., CEP 05014-010;04.838.285/0001-95;;;;;;;;
26;Construtora Mollinari Ltda;R. Corrientes, nº 239, Bairro Lapa - São Paulo/SP, CEP 05076-010;05.946.179/0001-98;;;;;;;;
27;Construtora Ohana Ltda.;R. Alfredo Maia, 493 - Bairro Luz - São Paulo/SP, CEP 01106-010;05.568.046/0001-25;;;;;;;;
28;Construtora Vão Livre LTDA;"Rua Dr. Dr. Cândido Espinheira nº 866 - Conj. 06 - Perdizes - São Paulo, S.P., CEP 05.004-000";56.044.811/0001;;;;;;;;
29;Construtora Zacarias Ltda- Epp.;Rua: Gustavo Marcondes ,nº138  Jardim Madalena - Campinas/SP - CEP 13091-610.;54.664.222/0001-38.;;;;;;;;
30;Contrutora E Incorporadora Zanini Sjcampos Ltda.;"Av. Nove de Julho, nº 394 - Sala 42, Jd. Apolo, São José dos Campos, S.P., CEP 12243-001";CNPJ: 03.827.115/0001-42;;;;;;;;
31;Coxport Engenharia E Construções Ltda;Rua Dr. Estevão de Almeida, nº 106 - Bairro: Perdizes, São Paulo, S.P., CEP 05014-010;44.558.591/0001-92;;;;;;;;
32;Delta Construções S.A.;Av. Rio Branco, nº 156 - 4º andar - grupo 401 - Centro - Rio de Janeiro - RJ - CEP: 20.040-003                                                                                      Correspondências para: – Rua Dr. Renato Paes de   Barros 778 8º andar – Itaim Bibi CEP 04530-001 São Paulo/SP.;10.788.628/0001-57;;;;;;;;
33;Diretório Da Arquitetura E Computação Gráfica S/S Ltda;Rua Dr. Neto de Araujo, 375 - Vila Mariana - São Paulo - SP - CEP 04111-001;71.741.193/0001-80;;;;;;;;
34;Disnel Engenharia E Consultoria Ltda;Rua Das Nações, nº 63 A - Bairro: Chac. Da Barra, Campinas, S.P., CEP 13.090-715;02.311.396/0001-13;;;;;;;;
35;Eap Engenharia Ltda-Epp;Rua Vinte e Quatro de Maio, 563 - Vila Industrial, Campinas - SP, 13035-370;07.550.869/0001-59;;;;;;;;
36;Eletrotécnica Pires Ltda.;Av. Dr. Ismael Alonso y Alonso, 1826, Bairro São José, em Franca / SP CEP 14.403-000;47.984.505/0001-00;;;;;;;;
37;Eliel Garcia Candeias - Epp.;Rua: Alexandre Favaro,nº204 - Vila Baltieri.São Pedro/SP.CEP:13520-000.;09054239/0001-19;;;;;;;;
38;Elisangela De Fátima Azanha - Epp;R. Daniel Boldrini, 52, Vila Belverde - Americana/SP - CEP. 13477-170;01.719.204/0001-40;;;;;;;;
39;Elli Construtora Ltda.;Rua Humberto I, nº 343, Conj. 41, Vila Mariana - São Paulo- SP CEP: 04.018-030;06.058.090/0001-58;;;;;;;;
40;Ermelindo Dias Fernandes Filho - Me;Rua Sarah Bermhardet, nº 368 - Bairro: Sta. Monica , Campinas, S.P., CEP 13.082-140;06.882.063/0001-03;;;;;;;;
41;Esteto Engenharia E Comércio Ltda;Rua Guaicurus nº 708 - Água Branca - São Paulo-SP CEP 5033-001;52.220.894/0001-29;;;;;;;;
42;Fabecon Engenharia E Construção Civil Ltda;Rua Dr.Ernesto Zuanella, nº 93 - Parque Continental, São Paulo - SP. CEP 05.327-060;09.121.639/0001-08;;;;;;;;
43;Fabrica Civil Engenharia De Projetos S/S.;Rua Prudente de Morais, nº 1938 - Vila Seixas - Ribeirão Preto/SP - CEP 14015-100;66.679.697/0001-87;;;;;;;;
44;GBVT Engenharia E Construções Ltda. ;R. Serimbura, nº 288, sl. 25, Edifício Emo Center - Jd. Margareth - São José dos Campos/SP - CEP. 12243-360;52.118.379/0001-32;;;;;;;;
45;Getesi Indústria De Equipamentos Eletrônicos E Sist. Ltda - Me;R. Dr. Carlos de Camargo Salles, 202 Bairro Vila Lutfallo, São Carlos/SP - CEP 13560-550;07.685.835/0001-71;;;;;;;;
46;Gomap Engenharia E Comércio Ltda-Epp.;Rua: Luís Antônio da Silveira,220-Boa Vista.São José do Rio Preto/SP.CEP:15025-020.;00.729.193/0001-16;;;;;;;;
47;Gradual Comércio Representações E Importação Ltda.;R. Prudente Pigatto, 38 - Bairro Santa Cecília - Paulínia/SP - CEP 13140-000;74.571.829/0001-80;;;;;;;;
48;Gramacon Comércio De Gramas E Materiais De Construção Ltda. ;R. Orlando de Senti, 1440 - Jd. América - Americana/SP CEP 13477-150;65.723.520/0001-78;;;;;;;;
49;Gregório Construtora Ltda-Epp.;Rua: Ernesto Viliotti, nº40-Sl.01 -Jd. Matilde II,Piracicaba/SP - CEP 13.412-148.;65.034.563/0001-46;;;;;;;;
50;Impermeabilli Serviços De Impermeabilização Ltda;Rua Camargo Paes n° 07 - sobre loja - Sala 1, Jardim Guanabara - Campinas - SP - CEP 13073-350;05.773.755/0001-42;;;;;;;;
51;Impernell Engenharia E Comércio Ltda;Av. Eng Antônio Francisco de Paula Souza, 4025 - Bairro Vila Formosa - Campinas/SP, CEP 13045-137;59.321.125/0001-66;;;;;;;;
52;Intacta Engenharia E Construções Ltda;Av. Doutor Arnaldo, nº 1516 Bairro: Sumaré, São Paulo, S.P., CEP 01.255-000.;65.034.563/0001-46;;;;;;;;
54;Ioch Engenharia Ltda;Rua General Andrade Neves, nº 158 - América.Joinville -SC. CEP : 89.204-410.;81357071/0001-48;;;;;;;;
55;JCH Gerenciamento, Projetos E Obras Ltda.;Av. Dom Pedro II, nº. 211, Bairro Campestre - Santo André/SP - CEP 09080-111;55.454.383/0001-60;;;;;;;;
56;LBR Engenharia E Consultoria Ltda;Rua Genebra, nº 264 4º andar, conj. 41/42/43 - Bela Vista - São Paulo;01.573.246/0001-15;;;;;;;;
57;LD Engenharia E Serviços Ltda.;Av. Alberto Sarmento, 577- sala 05 - Bairro Bonfim, Campinas/SP, CEP 13070-711;08.886.987/0001-03;;;;;;;;
58;Lineal Ms Engenharia E Construção Ltda;Avenida Venturosa, 512 - Jardim Cumbica, Guarulhos-SP. CEP 07.240-000;07.368.527/0001-12;;;;;;;;
59;M5 Construções Ltda.;Rua Dr. Boulevard Braguinha, 45- sala 67 - Centro, Sorocaba/SP, CEP 18010-120;08.921.453/0001-62;;;;;;;;
60;Mensura Engenharia Ltda.;R. Espanha, 376 - Bairro Vila Santa Maria, Americana/SP, CEP 13471-613;02.720.276/0001-70;;;;;;;;
