ARTR ENGENHARIA E CONSTRUÇÕES LTDA;06.832.068/0001-92;;CONSTRUTORA
SANECOL SANEAMENTO E CONSTRUÇÕES LTDA;04.773.147-0001-41;;CONSTRUTORA
ALENCAR CONSTRUÇÕES LTDA;01196798/0001-80;;CONSTRUTORA
GPO CONSTRUÇÕES LTDA;54.971.688/0001-05;;CONSTRUTORA
ORCEBEM ENGENHARIA E COMÉRCIO LTDA;02.294.272/0001-00;;CONSTRUTORA
ODAIR GARCIA JUNIOR - ENGENHARIA;08.806.076/0001-01;;CONSTRUTORA
G.H.A. GESTÃO DE PROJETOS E CONSTRUCOES LTDA - EPP;09.490.112-42;;CONSTRUTORA
AMECOM LTDA - ME;06.278.747/001-92;;CONSTRUTORA
CAP ENGENHARIA E GEOTECNICA LTDA;01074601/0001-1;;CONSTRUTORA
GASART COMÉRCIO E REPRESENTAÇÕES LTDA;72.909.502/0001-53;;EMPREITEIRAS
JOVAL SERVIÇOS LTDA;60.263.408/0001-05;;EMPREITEIRAS
DALO ELETRONICA E CONSTRUÇÕES LTDA;43.711.67/0001-29;;EMPREITEIRAS
SPINOSA & CIA LTDA. ;06.101.519/0001-15;;EMPREITEIRAS
EDSON ALVES DE SOUZA CONSTRUÇÕES - ME;06.242.956/0001-10;;EMPREITEIRAS
JJG SERVIÇOS EM CONSTRUÇÃO CIIVIL LTDA;07.282.007/0001-78;;EMPREITEIRAS
LUIZA CLAUDINA DA COSTA SOARES-ME;056.007.248/0001-39;;EMPREITEIRAS
DAG SILVEIRA PEDRAS - ME;06.555.807/0001-14;;EMPREITEIRAS
EBCI EMP BRAS DE CONST IND LTDA;10434437/0001-08;;EMPREITEIRAS
EISENREST ENGENHARIA;0926482/0001-81;;EMPREITEIRAS
TECNOSTRAUS FUNDAÇÕES S/C LTDA;51.415.966/0001-2071.32-3-00;;FUNDAÇÕES,  ESTACAS, POÇOS, TOPOGRAFIA, ESTUDOS GEOLÓGICOS
PBS SONDAGENS E PERFURAÇÕES DE SOLOS LTDA - EPP;08.633.069/0001-69;;FUNDAÇÕES,  ESTACAS, POÇOS, TOPOGRAFIA, ESTUDOS GEOLÓGICOS
KVA ENGENHARIA E EQUIPAMENTOS LTDA;51.295.331/0001;;ELÉTRICA-HIDRAULICA-TELEFONIA-REDES INF.
M.M. FONTES;01.630.064/0001-67;;ELÉTRICA-HIDRAULICA-TELEFONIA-REDES INF.
ASTROTEC EQUIP. ELETRÔNICOS LTDA-ME;66.698.408-97;;ELÉTRICA-HIDRAULICA-TELEFONIA-REDES INF.
RIZEL INSTALAÇÕES ELÉTRICAS LTDA.;00.593.317/0001-47;;ELÉTRICA-HIDRAULICA-TELEFONIA-REDES INF.
ELETRICA DUTRA COM. DE MAT. LTDA;06.037.191/0001-80;;ELÉTRICA-HIDRAULICA-TELEFONIA-REDES INF.
PROMATEC INFORMÁTICA LTDA;02.484058/0001-94;;ELÉTRICA-HIDRAULICA-TELEFONIA-REDES INF.
SEQUENCIA TEELECOMUNICAÇÕES E SERV. LTDA;01.719.588/0001-3;;ELÉTRICA-HIDRAULICA-TELEFONIA-REDES INF.
ANSELMO LUIS GONÇALVES;027.448.658-00;;ELÉTRICA-HIDRAULICA-TELEFONIA-REDES INF.
DURAES ELETRICA HID. E REF. LTDA;07.443.367/0001-62;;ELÉTRICA-HIDRAULICA-TELEFONIA-REDES INF.
PEDRO MALANZUK NETO (AUTÔNOMO) ;CPF 011.196.608-66;;ELÉTRICA-HIDRAULICA-TELEFONIA-REDES INF.
ESTACAO ENGENHARIA DE TELECOMUNICACOES LTDA;05.762.222/0001-62;;ELÉTRICA-HIDRAULICA-TELEFONIA-REDES INF.
J P SERVICE LTDA;01.651.212/001-00;;ELÉTRICA-HIDRAULICA-TELEFONIA-REDES INF.
SERGIO M OHTSUKI MANUT DE ELETROELETRONICOS;10460682/0001-62;;ELÉTRICA-HIDRAULICA-TELEFONIA-REDES INF.
MAQ- MÓVEIS IND. DEMÓVEIS ESCOLARES LTDA;67.276.683/0001-66;;MÓVEIS DIVISÓRIAS MARCENARIA
JC DA COSTA MÓVEIS ME;73887424/0001-83;;MÓVEIS DIVISÓRIAS MARCENARIA
CENTRAL DE AR CONDICIONADO;48.459.947/0001-06;;AR CONDICIONADO
ARTEC SYSTEM AR CONCIONADO LTDA;03.52.571/0001-83;;AR CONDICIONADO
